Mã lớp	Tên lớp	Khóa	Sĩ số	Mã ngành
FTS3-K16B	Lớp FTS3 K16B	K16	36	FTS3
FTS3-K17B	Lớp FTS3 K17B	K17	44	FTS3
FTS3-K18B	Lớp FTS3 K18B	K18	52	FTS3
FTS3-K19B	Lớp FTS3 K19B	K19	36	FTS3
FTS4-K16A	Lớp FTS4 K16A	K16	39	FTS4
FTS4-K17A	Lớp FTS4 K17A	K17	47	FTS4
FTS4-K18A	Lớp FTS4 K18A	K18	55	FTS4
FTS4-K19A	Lớp FTS4 K19A	K19	39	FTS4
FTS4-K16B	Lớp FTS4 K16B	K16	47	FTS4
FTS4-K17B	Lớp FTS4 K17B	K17	55	FTS4
FTS4-K18B	Lớp FTS4 K18B	K18	39	FTS4
FTS4-K19B	Lớp FTS4 K19B	K19	47	FTS4
FLE1-K16A	Lớp FLE1 K16A	K16	50	FLE1
FLE1-K17A	Lớp FLE1 K17A	K17	34	FLE1
FLE1-K18A	Lớp FLE1 K18A	K18	42	FLE1
FLE1-K19A	Lớp FLE1 K19A	K19	50	FLE1
FLE1-K16B	Lớp FLE1 K16B	K16	34	FLE1
FLE1-K17B	Lớp FLE1 K17B	K17	42	FLE1
FLE1-K18B	Lớp FLE1 K18B	K18	50	FLE1
FLE1-K19B	Lớp FLE1 K19B	K19	34	FLE1
FLK1-K16A	Lớp FLK1 K16A	K16	37	FLK1
FLK1-K17A	Lớp FLK1 K17A	K17	45	FLK1
FLK1-K18A	Lớp FLK1 K18A	K18	53	FLK1
FLK1-K19A	Lớp FLK1 K19A	K19	37	FLK1
FLK1-K16B	Lớp FLK1 K16B	K16	45	FLK1
FLK1-K17B	Lớp FLK1 K17B	K17	53	FLK1
FLK1-K18B	Lớp FLK1 K18B	K18	37	FLK1
FLK1-K19B	Lớp FLK1 K19B	K19	45	FLK1
FLC1-K16A	Lớp FLC1 K16A	K16	48	FLC1
FLC1-K17A	Lớp FLC1 K17A	K17	32	FLC1
FLC1-K18A	Lớp FLC1 K18A	K18	40	FLC1
FLC1-K19A	Lớp FLC1 K19A	K19	48	FLC1
FLC1-K16B	Lớp FLC1 K16B	K16	32	FLC1
FLC1-K17B	Lớp FLC1 K17B	K17	40	FLC1
FLC1-K18B	Lớp FLC1 K18B	K18	48	FLC1
FLC1-K19B	Lớp FLC1 K19B	K19	32	FLC1
FLJ1-K16A	Lớp FLJ1 K16A	K16	35	FLJ1
FLJ1-K17A	Lớp FLJ1 K17A	K17	43	FLJ1
FLJ1-K18A	Lớp FLJ1 K18A	K18	51	FLJ1
FLJ1-K19A	Lớp FLJ1 K19A	K19	35	FLJ1
FLJ1-K16B	Lớp FLJ1 K16B	K16	43	FLJ1
FLJ1-K17B	Lớp FLJ1 K17B	K17	51	FLJ1
FLJ1-K18B	Lớp FLJ1 K18B	K18	35	FLJ1
FLJ1-K19B	Lớp FLJ1 K19B	K19	43	FLJ1
FLF1-K16A	Lớp FLF1 K16A	K16	46	FLF1
FLF1-K17A	Lớp FLF1 K17A	K17	54	FLF1
FLF1-K18A	Lớp FLF1 K18A	K18	38	FLF1
FLF1-K19A	Lớp FLF1 K19A	K19	46	FLF1
FLF1-K16B	Lớp FLF1 K16B	K16	54	FLF1
FLF1-K17B	Lớp FLF1 K17B	K17	38	FLF1
FLF1-K18B	Lớp FLF1 K18B	K18	46	FLF1
FLF1-K19B	Lớp FLF1 K19B	K19	54	FLF1
FOS1-K16A	Lớp FOS1 K16A	K16	33	FOS1
FOS1-K17A	Lớp FOS1 K17A	K17	41	FOS1
FOS1-K18A	Lớp FOS1 K18A	K18	49	FOS1
FOS1-K19A	Lớp FOS1 K19A	K19	33	FOS1
FOS1-K16B	Lớp FOS1 K16B	K16	41	FOS1
FOS1-K17B	Lớp FOS1 K17B	K17	49	FOS1
FOS1-K18B	Lớp FOS1 K18B	K18	33	FOS1
FOS1-K19B	Lớp FOS1 K19B	K19	41	FOS1
FOL1-K16A	Lớp FOL1 K16A	K16	44	FOL1
FOL1-K17A	Lớp FOL1 K17A	K17	52	FOL1
FOL1-K18A	Lớp FOL1 K18A	K18	36	FOL1
FOL1-K19A	Lớp FOL1 K19A	K19	44	FOL1
FOL1-K16B	Lớp FOL1 K16B	K16	52	FOL1
FOL1-K17B	Lớp FOL1 K17B	K17	36	FOL1
FOL1-K18B	Lớp FOL1 K18B	K18	44	FOL1
FOL1-K19B	Lớp FOL1 K19B	K19	52	FOL1
