Mã HP	Tên Học Phần	Tổng TC	TC Lý thuyết	TC Thực hành	TC Tự học	Hình thức (OFFLINE/ONLINE_ELEARNING/ONLINE_COURSERA/HYBRID)	Loại phòng (LT / PM / TN / SB / XT / BV / DN / ONLINE / DA)	Mã Khoa	Mã Bộ môn (Tùy chọn)	Mã Khoa dùng chung (cách nhau dấu phẩy, VD: IT,CS,MATH)
FFL-1238	Thực hành thuyết trình tiếng Pháp	3	2	1	0	OFFLINE	LT	FFL	FFL-BM1	FL,FOS
FFL-1239	Đọc hiểu văn bản Pháp đương đại	4	1	0	3	ONLINE_ELEARNING	ONLINE	FFL	FFL-BM1	
FFL-1240	Phát âm tiếng Pháp chuẩn quốc tế	3	2	1	0	OFFLINE	LT	FFL	FFL-BM1	
FFL-1241	Tiếng Pháp chuyên ngành du lịch	3	1	0	2	ONLINE_COURSERA	ONLINE	FFL	FFL-BM1	
FFL-1242	DELF luyện thi	3	2	1	0	HYBRID	LT	FFL	FFL-BM1	
FFL-1243	Hành chính công và văn bản Pháp — Việt	3	1	0	2	OFFLINE	LT	FFL	FFL-BM1	FL,FOS
FFL-1244	Phương pháp giảng dạy tiếng Pháp	4	3	1	0	OFFLINE	PM	FFL	FFL-BM1	FL,FOS
FFL-1245	Tiếng Pháp kinh tế	2	1	1	0	OFFLINE	XT	FFL	FFL-BM1	FL,FOS
FFL-1246	Ngữ pháp tiếng Pháp A1 — B2	2	1	1	0	HYBRID	PM	FFL	FFL-BM1	
FFL-1247	Hợp tác Pháp — Việt trong giáo dục và văn hóa	2	2	0	0	ONLINE_COURSERA	ONLINE	FFL	FFL-BM1	FL,FOS
FCL-1248	Viết chữ Hán và bài luận ngắn	3	2	1	0	ONLINE_ELEARNING	ONLINE	FCL	FCL-BM1	
FCL-1249	Phát âm — Thanh điệu tiếng Trung	3	2	1	0	OFFLINE	LT	FCL	FCL-BM1	
FCL-1250	Chữ Hán cơ bản và cấu tạo	3	2	1	0	OFFLINE	LT	FCL	FCL-BM1	FL,FOS
FCL-1251	Luyện nghe báo CCTV và Phoenix TV	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1252	Ngữ pháp tiếng Hoa hiện đại	3	2	1	0	ONLINE_COURSERA	ONLINE	FCL	FCL-BM1	
FCL-1253	Phong tục — xã hội Trung Hoa hiện đại	2	2	0	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1254	Tiếng Trung Hoa đàm phán thương mại	2	1	1	0	ONLINE_COURSERA	ONLINE	FCL	FCL-BM1	
FCL-1255	Lịch sử tư tưởng Trung Hoa	3	2	1	0	HYBRID	LT	FCL	FCL-BM1	
FCL-1256	Tiếng Trung cho y tế và du lịch y tế	2	2	0	0	OFFLINE	LT	FCL	FCL-BM1	
FCL-1257	Tiếng Trung thương mại	3	2	1	0	OFFLINE	PM	FCL	FCL-BM1	
FCL-1258	Văn hóa Trung Quốc đại lục và Hải ngoại	3	1	0	2	OFFLINE	LT	FCL	FCL-BM1	
FCL-1259	Tiếng Trung du lịch	2	1	1	0	ONLINE_COURSERA	ONLINE	FCL	FCL-BM1	FL,FOS
FCL-1260	Thực hành biên phiên	2	0	2	0	ONLINE_COURSERA	ONLINE	FCL	FCL-BM1	
FCL-1261	Nghe — Nói tiếng Trung giao tiếp	3	2	1	0	OFFLINE	LT	FCL	FCL-BM1	FL,FOS
FCL-1262	HSK intensive	3	2	1	0	OFFLINE	TN	FCL	FCL-BM1	
FCL-1263	Dịch Trung — Việt thực hành	4	3	1	0	ONLINE_COURSERA	ONLINE	FCL	FCL-BM1	FL,FOS
FCL-1264	Văn học Trung Hiện đại	3	1	0	2	OFFLINE	LT	FCL	FCL-BM1	
FCL-1265	Đọc hiểu HSK 4 — 5	3	2	1	0	ONLINE_COURSERA	ONLINE	FCL	FCL-BM1	
FCL-1266	Hán văn chọn đọc	2	2	0	0	OFFLINE	LT	FCL	FCL-BM1	FL,FOS
MEM-1267	Vật liệu kỹ thuật	3	1	0	2	HYBRID	LT	MEM	MEM-BM1	
MEM-1268	Bảo trì và tin cậy hệ thống	2	0	2	0	ONLINE_COURSERA	ONLINE	MEM	MEM-BM1	
MEM-1269	Tính toán CAD — mô phỏng FEM cơ bản	2	2	0	0	OFFLINE	LT	MEM	MEM-BM1	
MEM-1270	CNC và lập trình gia công	2	1	1	0	ONLINE_ELEARNING	ONLINE	MEM	MEM-BM1	
MEM-1271	Thiết kế CAD — CAE	3	2	1	0	HYBRID	PM	MEM	MEM-BM1	
MEM-1272	Nguyên lý chi tiết máy	3	1	0	2	ONLINE_COURSERA	ONLINE	MEM	MEM-BM1	
MEM-1273	Công nghệ chế tạo máy	3	1	0	2	ONLINE_ELEARNING	ONLINE	MEM	MEM-BM1	
MEM-1274	Hệ thống robot công nghiệp	3	1	0	2	OFFLINE	LT	MEM	MEM-BM1	
MEM-1275	Đồ án mechatronics	2	2	0	0	OFFLINE	LT	MEM	MEM-BM1	
MEM-1276	Truyền động thủy lực — Khí nén	4	3	1	0	OFFLINE	PM	MEM	MEM-BM1	
MEM-1277	An toàn lao động — Phòng cháy xưởng	2	1	1	0	HYBRID	PM	MEM	MEM-BM1	
MEM-1278	Thực tập xưởng cơ khí	4	3	1	0	OFFLINE	XT	MEM	MEM-BM1	
MEM-1279	Cơ học kỹ thuật	3	2	1	0	OFFLINE	PM	MEM	MEM-BM1	
MEM-1280	Seminar công nghệ 4.0 trong chế tạo	4	3	1	0	ONLINE_COURSERA	ONLINE	MEM	MEM-BM1	
MEM-1281	Quản lý dự án cơ khí	3	2	1	0	OFFLINE	TN	MEM	MEM-BM1	
MEM-1282	Ứng dụng IoT trong giám sát máy	3	2	1	0	ONLINE_COURSERA	ONLINE	MEM	MEM-BM1	
MEM-1283	Đồ án thiết kế chi tiết máy	2	1	1	0	HYBRID	TN	MEM	MEM-BM1	
MEM-1284	Kỹ thuật đo lường và điều khiển	3	2	1	0	HYBRID	TN	MEM	MEM-BM1	
MEM-1285	Nhiệt kỹ thuật — Truyền nhiệt	4	3	1	0	OFFLINE	TN	MEM	MEM-BM1	
BCEE-1286	Công nghệ enzyme	3	1	0	2	ONLINE_ELEARNING	ONLINE	BCEE	BCEE-BM1	
BCEE-1287	Sinh học tế bào và mô nuôi cấy	3	1	0	2	ONLINE_ELEARNING	ONLINE	BCEE	BCEE-BM1	
BCEE-1288	Xử lý nước và nước thải	3	1	0	2	ONLINE_COURSERA	ONLINE	BCEE	BCEE-BM1	
BCEE-1289	Khí thải công nghiệp — Công nghệ xử lý	2	2	0	0	ONLINE_COURSERA	ONLINE	BCEE	BCEE-BM1	
BCEE-1290	Quản lý và thiết kế hệ thống môi trường	3	1	0	2	ONLINE_ELEARNING	ONLINE	BCEE	BCEE-BM1	
BCEE-1291	Hoá phân tích	2	2	0	0	OFFLINE	LT	BCEE	BCEE-BM1	
BCEE-1292	Di truyền học phân tử	3	2	1	0	ONLINE_COURSERA	ONLINE	BCEE	BCEE-BM1	
BCEE-1293	Công nghệ sinh học môi trường	3	2	1	0	ONLINE_ELEARNING	ONLINE	BCEE	BCEE-BM1	
BCEE-1294	An toàn hóa chất — MSDS	3	2	1	0	HYBRID	LT	BCEE	BCEE-BM1	
BCEE-1295	Hóa lý — Kinet-xúc tác	2	0	2	0	OFFLINE	TN	BCEE	BCEE-BM1	
BCEE-1296	Hữu cơ đại cương	3	2	1	0	OFFLINE	TN	BCEE	BCEE-BM1	
BCEE-1297	Thực hành hóa phân tích hiện đại	2	2	0	0	ONLINE_ELEARNING	ONLINE	BCEE	BCEE-BM1	
BCEE-1298	Hóa đại cương	2	2	0	0	ONLINE_COURSERA	ONLINE	BCEE	BCEE-BM1	
BCEE-1299	Đánh giá tác động môi trường	3	2	1	0	OFFLINE	LT	BCEE	BCEE-BM1	
BCEE-1300	Thực tập nhà máy và lab doanh nghiệp	3	2	1	0	OFFLINE	TN	BCEE	BCEE-BM1	
BCEE-1301	Thực hành vi sinh và PCR	4	3	1	0	OFFLINE	TN	BCEE	BCEE-BM1	
BCEE-1302	Đồ án thiết kế phản ứng — Tách chiết	3	2	1	0	ONLINE_COURSERA	ONLINE	BCEE	BCEE-BM1	
BCEE-1303	Kỹ thuật lên men	2	0	2	0	OFFLINE	TN	BCEE	BCEE-BM1	
BCEE-1304	Vi sinh học đại cương	4	1	0	3	ONLINE_ELEARNING	ONLINE	BCEE	BCEE-BM1	
EEE-1305	Vi mạch tương tự cơ bản	3	1	0	2	HYBRID	LT	EEE	EEE-BM1	
EEE-1306	Trí tuệ nhân tạo trong điều khiển	2	2	0	0	OFFLINE	LT	EEE	EEE-BM1	
EEE-1307	Hệ thống nhúng và RTOS	3	1	0	2	OFFLINE	LT	EEE	EEE-BM1	
EEE-1308	Thiết kế vi mạch số — HDL	3	2	1	0	OFFLINE	PM	EEE	EEE-BM1	
EEE-1309	Seminar chuyển đổi số trong kỹ thuật	2	1	0	1	ONLINE_ELEARNING	ONLINE	EEE	EEE-BM1	
EEE-1310	Smart grid và năng lượng tái tạo	2	2	0	0	ONLINE_ELEARNING	ONLINE	EEE	EEE-BM1	
EEE-1311	Thực hành PLC và SCADA	3	2	1	0	ONLINE_COURSERA	ONLINE	EEE	EEE-BM1	
EEE-1312	Antenna và RF cơ bản	3	1	0	2	ONLINE_COURSERA	ONLINE	EEE	EEE-BM1	
EEE-1313	Đồ án vi điều khiển	3	2	1	0	OFFLINE	PM	EEE	EEE-BM1	
EEE-1314	Bảo mật hệ thống nhúng	2	0	2	0	OFFLINE	PM	EEE	EEE-BM1	
EEE-1315	Lý thuyết điều khiển hiện đại	3	1	0	2	HYBRID	LT	EEE	EEE-BM1	
EEE-1316	Robot công nghiệp — Động học	3	2	1	0	OFFLINE	TN	EEE	EEE-BM1	
EEE-1317	Mạch điện tử	3	2	1	0	OFFLINE	PM	EEE	EEE-BM1	
EEE-1318	Truyền thông số — Giao thức nền tảng	3	2	1	0	OFFLINE	TN	EEE	EEE-BM1	
EEE-1319	Điện công nghiệp và biến tần	3	2	1	0	OFFLINE	TN	EEE	EEE-BM1	
EEE-1320	Kỹ thuật số và vi xử lý	2	1	1	0	ONLINE_COURSERA	ONLINE	EEE	EEE-BM1	
EEE-1321	Thực hành lab điện tử	4	3	1	0	OFFLINE	TN	EEE	EEE-BM1	
EEE-1322	Xử lý tín hiệu số DSP	2	2	0	0	OFFLINE	LT	EEE	EEE-BM1	
EEE-1323	Điều khiển tự động — Hệ thống con và ổn định	3	1	0	2	ONLINE_ELEARNING	ONLINE	EEE	EEE-BM1	
MSE-1324	Vật liệu sinh học và cấy ghép	3	2	1	0	ONLINE_COURSERA	ONLINE	MSE	MSE-BM1	
MSE-1325	Khoa học pin và vật liệu điện cực	3	2	1	0	ONLINE_COURSERA	ONLINE	MSE	MSE-BM1	
MSE-1326	Cơ học vật liệu	2	0	2	0	OFFLINE	TN	MSE	MSE-BM1	
MSE-1327	Gốm và thủy tinh kỹ thuật	2	1	1	0	ONLINE_COURSERA	ONLINE	MSE	MSE-BM1	
MSE-1328	Vật liệu bán dẫn cơ sở	2	2	0	0	OFFLINE	LT	MSE	MSE-BM1	
MSE-1329	Chế tạo và gia công vật liệu	3	1	0	2	ONLINE_COURSERA	ONLINE	MSE	MSE-BM1	
MSE-1330	Độ bền và phá hủy vật liệu	2	1	1	0	OFFLINE	PM	MSE	MSE-BM1	
MSE-1331	Tính chất và cấu trúc tinh thể	4	3	1	0	HYBRID	PM	MSE	MSE-BM1	
MSE-1332	Thực hành phòng thí nghiệm vật liệu	3	2	1	0	ONLINE_ELEARNING	ONLINE	MSE	MSE-BM1	
MSE-1333	Seminar công nghệ chất rắn	3	2	1	0	OFFLINE	LT	MSE	MSE-BM1	
MSE-1334	Ứng dụng ML trong dự báo tính chất vật liệu	3	2	1	0	OFFLINE	PM	MSE	MSE-BM1	
MSE-1335	Vật liệu nano và vật liệu thông minh	4	3	1	0	HYBRID	TN	MSE	MSE-BM1	
MSE-1336	Công nghệ đóng gói vi mạch tổng quan	2	0	2	0	OFFLINE	TN	MSE	MSE-BM1	
MSE-1337	Mô phỏng vật liệu — DFT giới thiệu	3	2	1	0	OFFLINE	PM	MSE	MSE-BM1	
MSE-1338	Phân tích vi cấu trúc — SEM — TEM	3	2	1	0	ONLINE_COURSERA	ONLINE	MSE	MSE-BM1	
MSE-1339	Corrosion và bảo vệ bề mặt	3	2	1	0	HYBRID	TN	MSE	MSE-BM1	
MSE-1340	Polyme công nghệ cao	2	1	0	1	ONLINE_ELEARNING	ONLINE	MSE	MSE-BM1	
MSE-1341	Đồ án vật liệu tiên tiến	2	2	0	0	OFFLINE	LT	MSE	MSE-BM1	
MSE-1342	Khoa học vật liệu đại cương	4	3	1	0	OFFLINE	PM	MSE	MSE-BM1	
VEE-1343	Thực tập garage — Kiểm định	3	2	1	0	HYBRID	XT	VEE	VEE-BM1	
VEE-1344	Vật liệu composite trong ô tô	3	2	1	0	OFFLINE	XT	VEE	VEE-BM1	
VEE-1345	Xe hybrid và EV — Kiến trúc pin	3	1	0	2	ONLINE_COURSERA	ONLINE	VEE	VEE-BM1	
VEE-1346	Thực tập xử lý nước thải công nghiệp	3	2	1	0	OFFLINE	DN	VEE	VEE-BM1	
VEE-1347	Động cơ đốt trong — Công thức tính năng lượng	2	0	2	0	HYBRID	LT	VEE	VEE-BM1	
VEE-1348	Quan trắc môi trường và xử lý	3	2	1	0	ONLINE_COURSERA	ONLINE	VEE	VEE-BM1	
VEE-1349	An toàn động học — Cân bằng xe	3	1	0	2	HYBRID	LT	VEE	VEE-BM1	
VEE-1350	Đồ án thiết kế subsystem ô tô	2	1	0	1	ONLINE_ELEARNING	ONLINE	VEE	VEE-BM1	
VEE-1351	Điện — Điện tử ô tô OBD	2	1	1	0	ONLINE_ELEARNING	ONLINE	VEE	VEE-BM1	
VEE-1352	Kỹ thuật môi trường — Khí thải xe	3	2	1	0	ONLINE_ELEARNING	ONLINE	VEE	VEE-BM1	
VEE-1353	Phần mềm điều khiển ECU — Autosar nền tảng	3	2	1	0	OFFLINE	PM	VEE	VEE-BM1	
VEE-1354	Đánh giá vòng đời xe điện và pin second-life	3	2	1	0	HYBRID	TN	VEE	VEE-BM1	
VEE-1355	Mô hình hóa ô nhiễm không khí	2	0	2	0	OFFLINE	LT	VEE	VEE-BM1	
VEE-1356	Khí động học và CFD giới thiệu	2	2	0	0	HYBRID	LT	VEE	VEE-BM1	
VEE-1357	GIS trong quy hoạch môi trường	2	0	2	0	OFFLINE	PM	VEE	VEE-BM1	
VEE-1358	Quản lý chất thải rắn đô thị	2	2	0	0	OFFLINE	LT	VEE	VEE-BM1	
VEE-1359	Sạc nhanh và quản lý nhiệt pin	2	2	0	0	OFFLINE	LT	VEE	VEE-BM1	
VEE-1360	Hệ thống truyền động ô tô	2	0	2	0	OFFLINE	XT	VEE	VEE-BM1	
VEE-1361	ADAS và sensor fusion giới thiệu	3	2	1	0	OFFLINE	PM	VEE	VEE-BM1	
FTH-1362	Thương mại điện tử trong du lịch	4	3	1	0	OFFLINE	PM	FTH	FTH-BM1	
FTH-1363	Marketing du lịch số	3	2	1	0	OFFLINE	PM	FTH	FTH-BM1	
FTH-1364	Quản trị khách sạn vận hành buồng phòng	3	2	1	0	OFFLINE	PM	FTH	FTH-BM1	
FTH-1365	Chất lượng dịch vụ và xử lý khiếu nại	3	2	1	0	OFFLINE	LT	FTH	FTH-BM1	
FTH-1366	Thực tập công ty lữ hành	4	3	1	0	OFFLINE	DN	FTH	FTH-BM1	
FTH-1367	Luật du lịch và hướng dẫn viên	3	1	0	2	ONLINE_ELEARNING	ONLINE	FTH	FTH-BM1	
FTH-1368	Seminar trải nghiệm khách hàng	3	1	0	2	ONLINE_COURSERA	ONLINE	FTH	FTH-BM1	
FTH-1369	Hướng dẫn du lịch — Kỹ năng storytelling	3	2	1	0	OFFLINE	PM	FTH	FTH-BM1	
FTH-1370	Lịch sử văn hóa du lịch	2	2	0	0	ONLINE_ELEARNING	ONLINE	FTH	FTH-BM1	
FTH-1371	Địa lý du lịch Việt Nam	3	2	1	0	HYBRID	LT	FTH	FTH-BM1	
FTH-1372	Đồ án thiết kế tour	2	0	2	0	HYBRID	TN	FTH	FTH-BM1	
FTH-1373	Phân tích xu hướng du lịch millennials	3	2	1	0	ONLINE_ELEARNING	ONLINE	FTH	FTH-BM1	
FTH-1374	Front office và Revenue management	2	1	1	0	ONLINE_ELEARNING	ONLINE	FTH	FTH-BM1	
FTH-1375	Thực tập khách sạn	3	2	1	0	ONLINE_COURSERA	DN	FTH	FTH-BM1	
FTH-1376	An toàn — Sơ cứu trong du lịch	2	1	1	0	OFFLINE	LT	FTH	FTH-BM1	
FTH-1377	F&B — Dịch vụ ẩm thực khách sạn	2	1	1	0	ONLINE_ELEARNING	ONLINE	FTH	FTH-BM1	
FTH-1378	Sự kiện — MICE tổ chức	3	1	0	2	OFFLINE	LT	FTH	FTH-BM1	
FTH-1379	Di sản và du lịch bền vững	3	1	0	2	OFFLINE	LT	FTH	FTH-BM1	
FTH-1380	Quản trị lữ hành	4	3	1	0	ONLINE_COURSERA	ONLINE	FTH	FTH-BM1	
EIB-1381	Đồ án mô phỏng xuất nhập khẩu	3	2	1	0	OFFLINE	TN	EIB	EIB-BM1	
EIB-1382	Kinh tế vi mô — Ứng dụng	2	0	2	0	ONLINE_ELEARNING	ONLINE	EIB	EIB-BM1	
EIB-1383	Đầu tư trực tiếp nước ngoài FDI	3	1	0	2	OFFLINE	LT	EIB	EIB-BM1	
EIB-1384	Seminar chiến tranh thương mại và chuỗi cung ứng	2	0	2	0	OFFLINE	LT	EIB	EIB-BM1	FBA,FFA
EIB-1385	Exim documentation và UCP 600 thực hành	3	1	0	2	ONLINE_COURSERA	ONLINE	EIB	EIB-BM1	
EIB-1386	RCEP và cơ hội thị trường ASEAN — Trung Quốc	3	2	1	0	ONLINE_COURSERA	ONLINE	EIB	EIB-BM1	
EIB-1387	Thương mại quốc tế và WTO	4	3	1	0	ONLINE_COURSERA	ONLINE	EIB	EIB-BM1	
EIB-1388	Văn hóa kinh doanh xuyên biên giới	2	0	2	0	OFFLINE	TN	EIB	EIB-BM1	
EIB-1389	ERP trong logistics	3	2	1	0	OFFLINE	PM	EIB	EIB-BM1	FBA,FFA
EIB-1390	Kinh tế quốc tế	3	2	1	0	OFFLINE	LT	EIB	EIB-BM1	
EIB-1391	Ngoại hối và phòng ngừa rủi ro	3	2	1	0	ONLINE_COURSERA	ONLINE	EIB	EIB-BM1	
EIB-1392	Tài chính quốc tế cơ sở	3	2	1	0	OFFLINE	LT	EIB	EIB-BM1	
EIB-1393	Quản trị chuỗi cung ứng toàn cầu	3	2	1	0	OFFLINE	TN	EIB	EIB-BM1	
EIB-1394	Kinh tế vĩ mô — Mở	3	2	1	0	OFFLINE	LT	EIB	EIB-BM1	
EIB-1395	Pháp luật thương mại quốc tế	3	2	1	0	OFFLINE	TN	EIB	EIB-BM1	
EIB-1396	Logistics đa phương thức	2	1	0	1	ONLINE_ELEARNING	ONLINE	EIB	EIB-BM1	
EIB-1397	Incoterms — Hợp đồng thương mại	2	1	1	0	HYBRID	TN	EIB	EIB-BM1	
EIB-1398	Thực tập doanh nghiệp XNK	2	0	2	0	OFFLINE	DN	EIB	EIB-BM1	
EIB-1399	Marketing quốc tế	3	1	0	2	HYBRID	LT	EIB	EIB-BM1	
FBA-1400	Thực tập doanh nghiệp	3	2	1	0	ONLINE_COURSERA	ONLINE	FBA	FBA-BM1	
FBA-1401	Hành vi tổ chức	3	2	1	0	OFFLINE	TN	FBA	FBA-BM1	
FBA-1402	Đạo đức kinh doanh	2	0	2	0	HYBRID	TN	FBA	FBA-BM1	
FBA-1403	Đàm phán trong kinh doanh	3	2	1	0	OFFLINE	LT	FBA	FBA-BM1	
FBA-1404	Nguyên lý quản trị	3	2	1	0	HYBRID	LT	FBA	FBA-BM1	
FBA-1405	Quản trị thay đổi	2	1	1	0	OFFLINE	LT	FBA	FBA-BM1	
FBA-1406	Nghiên cứu marketing	3	2	1	0	OFFLINE	PM	FBA	FBA-BM1	
FBA-1407	Quản trị nhân lực	2	0	2	0	HYBRID	PM	FBA	FBA-BM1	
FBA-1408	Quản trị chiến lược	2	0	2	0	HYBRID	TN	FBA	FBA-BM1	
FBA-1409	Quản lý chuỗi cung ứng — cơ bản	3	2	1	0	OFFLINE	LT	FBA	FBA-BM1	
FBA-1410	Game theory trong cạnh tranh	3	2	1	0	ONLINE_COURSERA	ONLINE	FBA	FBA-BM1	
FBA-1411	Seminar CEO talks	3	2	1	0	OFFLINE	LT	FBA	FBA-BM1	
FBA-1412	Khởi nghiệp và business model canvas	4	3	1	0	OFFLINE	LT	FBA	FBA-BM1	
FBA-1413	Quản trị vận hành	3	2	1	0	OFFLINE	LT	FBA	FBA-BM1	
FBA-1414	Tuyển dụng và đánh giá 360	3	2	1	0	ONLINE_COURSERA	ONLINE	FBA	FBA-BM1	
FBA-1415	Quản trị marketing	3	2	1	0	OFFLINE	LT	FBA	FBA-BM1	
FBA-1416	Tài chính doanh nghiệp cho QT KD	3	2	1	0	ONLINE_ELEARNING	ONLINE	FBA	FBA-BM1	
FBA-1417	Đồ án quản trị tổng hợp	2	1	0	1	ONLINE_ELEARNING	ONLINE	FBA	FBA-BM1	
FBA-1418	Data-driven decision making	3	2	1	0	ONLINE_ELEARNING	ONLINE	FBA	FBA-BM1	
FFA-1419	Kiểm toán — Chuẩn mực VAS	2	2	0	0	ONLINE_COURSERA	ONLINE	FFA	FFA-BM1	
FFA-1420	Blockchain và tài sản số — tổng quan	2	0	2	0	ONLINE_COURSERA	ONLINE	FFA	FFA-BM1	
FFA-1421	Kế toán tài chính	3	2	1	0	HYBRID	PM	FFA	FFA-BM1	
FFA-1422	Mô hình định giá doanh nghiệp	2	0	2	0	ONLINE_COURSERA	ONLINE	FFA	FFA-BM1	
FFA-1423	Tài chính tiền tệ	3	2	1	0	ONLINE_COURSERA	ONLINE	FFA	FFA-BM1	
FFA-1424	Kiểm toán nội bộ	2	0	2	0	OFFLINE	LT	FFA	FFA-BM1	
FFA-1425	Phái sinh và hedging giới thiệu	2	0	2	0	OFFLINE	TN	FFA	FFA-BM1	
FFA-1426	Ngân hàng thương mại	2	2	0	0	ONLINE_COURSERA	ONLINE	FFA	FFA-BM1	
FFA-1427	Nguyên lý kế toán	3	2	1	0	ONLINE_COURSERA	ONLINE	FFA	FFA-BM1	
FFA-1428	Fintech và thanh toán số	2	2	0	0	OFFLINE	LT	FFA	FFA-BM1	
FFA-1429	Đồ án kế toán trên phần mềm	3	2	1	0	ONLINE_COURSERA	ONLINE	FFA	FFA-BM1	
FFA-1430	Pháp luật kinh doanh	2	0	2	0	OFFLINE	LT	FFA	FFA-BM1	
FFA-1431	Tài chính doanh nghiệp	2	2	0	0	OFFLINE	LT	FFA	FFA-BM1	
FFA-1432	Quản trị rủi ro tài chính	3	1	0	2	OFFLINE	LT	FFA	FFA-BM1	
FFA-1433	Thuế — Luật thuế hiện hành	3	1	0	2	OFFLINE	LT	FFA	FFA-BM1	
FFA-1434	Thị trường chứng khoán	2	1	1	0	OFFLINE	PM	FFA	FFA-BM1	
FFA-1435	Thực tập ngân hàng — kiểm toán	3	2	1	0	OFFLINE	TN	FFA	FFA-BM1	
FFA-1436	Quản trị tín dụng	2	1	1	0	ONLINE_ELEARNING	ONLINE	FFA	FFA-BM1	
FFA-1437	Kế toán quản trị	3	1	0	2	OFFLINE	LT	FFA	FFA-BM1	
FIS-1438	Lập trình ứng dụng doanh nghiệp	3	2	1	0	OFFLINE	PM	FIS	FIS-BM1	
FIS-1439	Quản trị an toàn thông tin doanh nghiệp	3	1	0	2	HYBRID	LT	FIS	FIS-BM1	
FIS-1440	Business intelligence và data warehouse	2	0	2	0	HYBRID	PM	FIS	FIS-BM1	
FIS-1441	IoT và analytics trong vận hành	3	1	0	2	ONLINE_COURSERA	ONLINE	FIS	FIS-BM1	
FIS-1442	RPA — tự động hóa quy trình văn phòng	2	1	1	0	OFFLINE	PM	FIS	FIS-BM1	FCS,FAD
FIS-1443	Big data giới thiệu	3	2	1	0	HYBRID	PM	FIS	FIS-BM1	FCS,FAD
FIS-1444	Seminar digital transformation	2	0	2	0	HYBRID	TN	FIS	FIS-BM1	FCS,FAD
FIS-1445	ERP — Cấu hình và tùy biến	3	2	1	0	OFFLINE	PM	FIS	FIS-BM1	
FIS-1446	Governance và ITIL cơ bản	2	2	0	0	OFFLINE	LT	FIS	FIS-BM1	
FIS-1447	Đồ án phân tích nghiệp vụ — BA	3	2	1	0	OFFLINE	PM	FIS	FIS-BM1	
FIS-1448	Low-code — No-code và citizen development	4	3	1	0	OFFLINE	TN	FIS	FIS-BM1	
FIS-1449	CRM và SCM qua hệ thống	2	0	2	0	ONLINE_COURSERA	ONLINE	FIS	FIS-BM1	FCS,FAD
FIS-1450	Data governance và master data management	2	0	2	0	ONLINE_ELEARNING	ONLINE	FIS	FIS-BM1	
FIS-1451	Agile và DevOps trong doanh nghiệp	3	1	0	2	HYBRID	LT	FIS	FIS-BM1	
FIS-1452	Thực tập IT helpdesk — triển khai	2	2	0	0	OFFLINE	LT	FIS	FIS-BM1	
FIS-1453	Cơ sở dữ liệu và SQL nâng cao	2	1	0	1	ONLINE_ELEARNING	ONLINE	FIS	FIS-BM1	
FIS-1454	Phân tích và thiết kế hệ thống thông tin	2	0	2	0	ONLINE_ELEARNING	ONLINE	FIS	FIS-BM1	
FIS-1455	Kiến trúc hướng sự kiện Event-driven trong SI	2	0	2	0	ONLINE_COURSERA	ONLINE	FIS	FIS-BM1	
FIS-1456	Quản lý dự án CNTT	3	1	0	2	OFFLINE	LT	FIS	FIS-BM1	FCS,FAD
FCS-1457	Phần mềm mã nguồn mở	2	1	0	1	ONLINE_ELEARNING	ONLINE	FCS	FCS-BM1	FCS,FAD
FCS-1458	Cơ sở dữ liệu	3	1	0	2	OFFLINE	LT	FCS	FCS-BM1	FCS,FAD
FCS-1459	Lập trình hướng đối tượng	2	1	1	0	ONLINE_COURSERA	ONLINE	FCS	FCS-BM1	FCS,FAD
FCS-1460	Hệ điều hành	3	2	1	0	OFFLINE	PM	FCS	FCS-BM1	
FCS-1461	Deep learning và ứng dụng	3	1	0	2	ONLINE_ELEARNING	ONLINE	FCS	FCS-BM1	
FCS-1462	Đồ án phần mềm nhóm	4	1	0	3	ONLINE_ELEARNING	ONLINE	FCS	FCS-BM1	
FCS-1463	Nhập môn lập trình	2	2	0	0	OFFLINE	LT	FCS	FCS-BM1	
FCS-1464	Thực tập phát triển phần mềm	3	2	1	0	OFFLINE	TN	FCS	FCS-BM1	
FCS-1465	Kiến trúc máy tính	3	2	1	0	OFFLINE	PM	FCS	FCS-BM1	
FCS-1466	Phát triển Web full-stack	2	1	1	0	ONLINE_ELEARNING	ONLINE	FCS	FCS-BM1	
FCS-1467	Machine learning	3	2	1	0	OFFLINE	PM	FCS	FCS-BM1	
FCS-1468	Container và Kubernetes cơ bản	2	0	2	0	ONLINE_COURSERA	ONLINE	FCS	FCS-BM1	FCS,FAD
FCS-1469	Mạng máy tính	4	3	1	0	OFFLINE	PM	FCS	FCS-BM1	
FCS-1470	Seminar xu hướng CNTT	4	3	1	0	OFFLINE	PM	FCS	FCS-BM1	
FCS-1471	Cloud-native và microservices	2	1	1	0	ONLINE_ELEARNING	ONLINE	FCS	FCS-BM1	
FCS-1472	Cấu trúc dữ liệu và giải thuật	3	2	1	0	OFFLINE	TN	FCS	FCS-BM1	
FCS-1473	An toàn mạng máy tính	3	2	1	0	OFFLINE	PM	FCS	FCS-BM1	
FCS-1474	Lập trình mobile đa nền tảng	3	1	0	2	OFFLINE	LT	FCS	FCS-BM1	
